Name,Nord-Süd,Dena Regionen,Kraftwerksart,Energieträger,EE/nicht EE,Bundesland,spez. Standort,Unerklärte Ziffer
Mehrum,Nord,23,Dampfkraftwerk,Steinkohle,nicht EE,Niedersachsen,"52° 18′ 51″ N, 10° 5′ 29″ O",
München Nord 2,Süd,25,GuD-Kraftwerk,Erdgas,nicht EE,Bayern,"48°10'54.5""N 11°38'18.1""E",
München Süd GT 61,Süd,25,,,Nicht EE,,,
Netzreservekraftwerk Darmstadt/GTKW GT11,Süd,,Gasturbinenkraftwerk,Erdgas,nicht EE,Hessen,"49° 53′ 8″ N, 8° 38′ 58″ O",
Netzreservekraftwerk Darmstadt/GTKW GT12,Süd,,Gasturbinenkraftwerk,Erdgas,nicht EE,Hessen,"49° 53′ 8″ N, 8° 38′ 58″ O",
Netzreservekraftwerk KMW 2 DT,Süd,,Heizkraftwerk (KWK),Erdgas,nicht EE,Rheinland-Pfalz,"50°01'34.8""N 8°14'13.9""E",
Netzreservekraftwerk UPM Schongau,Süd,,Heizkraftwerk (KWK),Erdgas,nicht EE,Bayern,"47°48'17.7""N 10°54'17.3""E",
Netzreservekraftwerk VOELKLINGEN_HKV,Süd,,Kohlekraftwerke,Steinkohle,nicht EE,Saarland,"49°14'56.8""N 6°52'51.5""E",
Netzreservekraftwerk VOELKLINGEN_MKV,Süd,,Kohlekraftwerke,Steinkohle,nicht EE,Saarland,"49°14'56.8""N 6°52'51.5""E",
NEURATH_C,Süd,74,Kohlekraftwerke,Braunkohle ,nicht EE,Nordrhein-Westfalen,"51°02'08.7""N 6°36'49.0""E",
NEURATH_D,Süd,74,Kohlekraftwerke,Braunkohle ,nicht EE,Nordrhein-Westfalen,"51°02'08.7""N 6°36'49.0""E",
NEURATH_E,Süd,74,Kohlekraftwerke,Braunkohle ,nicht EE,Nordrhein-Westfalen,"51°02'08.7""N 6°36'49.0""E",
NEURATH_F,Süd,74,Braunkohlekraftwerk (BoA),Braunkohle,nicht EE,Nordrhein-Westfalen,"51° 2′ 22″ N, 6° 36′ 54″ O",
NEURATH_G,Süd,74,Braunkohlekraftwerk (BoA),Braunkohle,nicht EE,Nordrhein-Westfalen,"51° 2′ 22″ N, 6° 36′ 54″ O",
NIEDERAUSSEM_E,Süd,74,Kohlekraftwerke,Braunkohle ,nicht EE,Nordrhein-Westfalen,"50°59'32.3""N 6°40'23.8""E",
NIEDERAUSSEM_F,Süd,74,Kohlekraftwerke,Braunkohle ,nicht EE,Nordrhein-Westfalen,"50°59'32.3""N 6°40'23.8""E",
NIEDERAUSSEM_G,Süd,74,Kohlekraftwerke,Braunkohle ,nicht EE,Nordrhein-Westfalen,"50°59'32.3""N 6°40'23.8""E",
NIEDERAUSSEM_H,Süd,74,Kohlekraftwerke,Braunkohle ,nicht EE,Nordrhein-Westfalen,"50°59'32.3""N 6°40'23.8""E",
NIEDERAUSSEM_K,Süd,74,,,Nicht EE,,,
Niederrad 1,Süd,,Heizkraftwerk,Erdgas,nicht EE,Hessen,"50° 5′ 7″ N, 8° 37′ 39″ O",
NIEHL-31-GUD,Süd,74,Heizkraftwerk (GuD),Erdgas,nicht EE,Nordrhein-Westfalen,"50° 58′ 30″ N, 6° 59′ 17″ O",
NIEHL-II,Süd,74,Heizkraftwerk (GuD),Erdgas,nicht EE,Nordrhein-Westfalen,"50° 58′ 30″ N, 6° 59′ 17″ O",
NIEHL-II-GT,Süd,74,,,Nicht EE,,,
OWP Nordergründe,Nord,20,,Wind,EE,,,
OWP Riffgat,Nord,20,,Wind,EE,,,
OWP UW Büttel,Nord,22,Umspannwerk Wind,Offshore Wind,EE,Schleswig-Holstein,"53,917659° N, 9,235118° O",
OWP UW Diele,Nord,22,Umspannwerk Wind,Offshore Wind,EE,Niedersachsen,"53° 7′ 12″ N, 7° 18′ 50″ E",
OWP UW Dörpen-West,Nord,22,Umspannwerk Wind,Offshore Wind,EE,Niedersachsen,"53° 0′ N, 7° 18′ O",
OWP UW Emden-Ost,Nord,22,Umspannwerk Wind,Offshore Wind,EE,Niedersachsen,"ca. 53° 22′ N, 7° 12′ O",
Plattling GT,Süd,26,,,Nicht EE,,,
PSW Rönkhausen,Nord,73,,Wasser,EE,,,
Pumpspeicherwerk Glems,Süd,42,Pumpspeicherkraftwerk,Wasser,EE,Baden-Württemberg,"48°30'17.7""N 9°17'13.3""E",
Pumpspeicherwerk Säckingen RZ TNG,Süd,42,Pumpspeicherkraftwerk,Wasser,EE,Baden-Württemberg,"47°33'55.0""N 7°57'11.4""E",
Pumpspeicherwerk Schluchseegruppe Häusern/Waldshut/Witznau RZ TNG,Süd,42,Pumpspeicherkraftwerk,Wasser,EE,Baden-Württemberg,"47°45'18.2""N 8°11'14.6""E",
Pumpspeicherwerk Wehr RZ TNG,Süd,42,,Wasser,EE,,,
Reisach 1,Süd,25,Pumpspeicherkraftwerk,Wasser,EE,Bayern,"49°31'47.4""N 12°17'07.8""E",
Reisach 2,Süd,25,Pumpspeicherkraftwerk,Wasser,EE,Bayern,"49°31'47.4""N 12°17'07.8""E",
Reisach 3,Süd,25,Pumpspeicherkraftwerk,Wasser,EE,Bayern,"49°31'47.4""N 12°17'07.8""E",
Reservekraftwerk Altbach/Deizisau Block 1,Süd,,Kohlekraftwerk (Fuel Switch),Steinkohle,nicht EE,Baden-Württemberg,"48°43'02.1""N 9°22'26.5""E",
Reservekraftwerk Heilbronn Block 5,Süd,,Heizkraftwerk,Steinkohle,nicht EE,Baden-Württemberg,"49°10'41.9""N 9°12'30.6""E",
Reservekraftwerk Heilbronn Block 6,Süd,,Heizkraftwerk,Steinkohle,nicht EE,Baden-Württemberg,"49°10'41.9""N 9°12'30.6""E",
Reservekraftwerk Marbach DT 3,Süd,,Heizkraftwerk (GuD),Erdgas,nicht EE,Baden-Württemberg,"48°55'37.2""N 9°13'48.2""E",
Reservekraftwerk Marbach GT 2,Süd,,Heizkraftwerk (GuD),Erdgas,nicht EE,Baden-Württemberg,"48°55'37.2""N 9°13'48.2""E",
Reservekraftwerk Marbach GT 3,Süd,,Heizkraftwerk (GuD),Erdgas,nicht EE,Baden-Württemberg,"48°55'37.2""N 9°13'48.2""E",
Reservekraftwerk Rheinhafen-Dampfkraftwerk Karlsruhe Block 4,Süd,,Kohlekraftwerk ,Steinkohle,nicht EE,Baden-Württemberg,"49°00'50.0""N 8°18'20.5""E",
Reservekraftwerk Walheim Block 1,Süd,,Kohlekraftwerk,Steinkohle,nicht EE,Baden-Württemberg,"49°01'02.9""N 9°09'25.0""E",
Reservekraftwerk Walheim Block 2,Süd,,Kohlekraftwerk,Steinkohle,nicht EE,Baden-Württemberg,"49°01'02.9""N 9°09'25.0""E",
ReserveKW Heyden,Süd,,Kohlekraftwerk,Steinkohle,nicht EE,Nordrhein-Westfalen,"52°22'44.0""N 8°59'46.4""E",
ReserveKW Ingolstadt 3,Süd,,Ölkraftwerk,Heizöl schwer,nicht EE,Bayern,"48°45'45.7""N 11°30'18.2""E",
ReserveKW Ingolstadt 4,Süd,,Ölkraftwerk,Heizöl schwer,nicht EE,Bayern,"48° 45′ 43″ N, 11° 30′ 9″ O",
ReserveKW Irsching 3,Süd,26,,,Nicht EE,,,
ReserveKW Staudinger 4,Süd,,Dampfkraftwerk,Erdgas,nicht EE,Hessen,"50° 5′ 17″ N, 8° 57′ 8″ O",
ReserveKW Staudinger 5,Süd,,Kohlekraftwerk,Steinkohle,nicht EE,Hessen,"50°05'14.3""N 8°57'28.0""E",
Rheinhafen-Dampfkraftwerk Karlsruhe Block 7,Süd,,Dampfkraftwerk,Steinkohle,nicht EE,Baden-Württemberg,"49° 0′ 45″ N, 8° 18′ 10″ O",
Rheinhafen-Dampfkraftwerk Karlsruhe Block 8,Süd,,Dampfkraftwerk,Steinkohle,nicht EE,Baden-Württemberg,"49° 0′ 45″ N, 8° 18′ 10″ O",
Robert Frank 4 GT (KapRes),Nord,,GuD Kraftwerk,Erdgas,nicht EE,Niedersachsen,"52°32'46.8""N 9°06'59.0""E",
ROENKHAUSEN_PSW1,Nord,37,,Wasser,EE,,,
ROENKHAUSEN_PSW2,Nord,37,,Wasser,EE,,,
Rostock Kohlekraftwerk,Nord,81,,,Nicht EE,,,
Schkopau,Nord,,Dampfkraftwerk,Braunkohle,nicht EE,Sachsen-Anhalt,"51° 24′ 4″ N, 11° 57′ 3″ O",
SCHOLVEN_B,Süd,,Kohlekraftwerk,Steinkohle,nicht EE,Nordrhein-Westfalen,"51°35'49.6""N 7°00'14.3""E",
Schwarze Pumpe (Standort),Nord,,Kohlekraftwerk,Braunkohle,nicht EE,Brandenburg,"51°32'03.0""N 14°21'01.7""E",
SHN Cluster Audorf Süd,Nord,21,,,EE,,,
SHN Cluster Brunsbüttel,Nord,21,,,EE,,,
SHN Cluster Hamburg Nord,Nord,21,,,EE,,,
SHN Cluster Handewitt T411,Nord,21,,,EE,,,
SHN Cluster Handewitt T411 T413,Nord,21,,,EE,,,
SHN Cluster Handewitt T412 T413,Nord,21,,,EE,,,
SHN Cluster Handewitt T414 T415,Nord,21,,,EE,,,
SHN Cluster Heide West T411 T412,Nord,21,,,EE,,,
SHN Cluster Heide West T413,Nord,21,,,EE,,,
SHN Cluster Husum Nord,Nord,21,,,EE,,,
SHN Cluster Itzehoe West,Nord,21,,,EE,,,
SHN Cluster Jardelund,Nord,21,,,EE,,,
SHN Cluster Kiel Süd,Nord,21,,,EE,,,
SHN Cluster Klixbüll,Nord,21,,,EE,,,
SHN Cluster Krümmel,Nord,21,,,EE,,,
SHN Cluster Kummerfeld,Nord,21,,,EE,,,
SHN Cluster Lübeck,Nord,21,,,EE,,,
SHN Cluster Schuby West,Nord,21,,,EE,,,
SHN Cluster Süderdonn T411,Nord,21,,,EE,,,
SHN Cluster Süderdonn T412 T413,Nord,21,,,EE,,,
SHN Cluster Wilster West,Nord,21,,,EE,,,
Silz 1 (TIWAG),Süd,75,,Wasser,EE,,,
Silz 1 (Uniper),Süd,75,,Wasser,EE,,,
Silz 2 (TIWAG),Süd,75,,Wasser,EE,,,
Staudinger 5,Süd,,Dampfkraftwerk,Steinkohle & 3 % Klärschlamm,nicht EE,Hessen,"50° 5′ 17″ N, 8° 57′ 8″ O",
STUMMHAFEN_10,Süd,,Kohlekraftwerk,Steinkohle,nicht EE,Nordrhein-Westfalen,"51°36'49.9""N 7°27'59.8""E",
SW München KW-Pool,Süd,26,Kraftwerksmix,,nicht EE,Bayern,?,
SWDU_HKW_3B,Süd,,Heizkraftwerk (GuD),Erdgas,nicht EE,Nordrhein-Westfalen,"51°23'31.0""N 6°44'49.9""E",
Tanzmühle,Süd,25,,Wasser,EE,,,
Thyrow A (KapRes),Nord,81,,,Nicht EE,,,
Thyrow A (SysRel),Nord,81,Gasturbinenkraftwerk,Erdgas,nicht EE,Brandenburg,"52°13'47.9""N 13°18'04.8""E",
Thyrow B (KapRes),Nord,81,,,Nicht EE,,,
Thyrow B (SysRel),Nord,81,Gasturbinenkraftwerk,Erdgas,nicht EE,Brandenburg,"52°13'47.9""N 13°18'04.8""E",
Thyrow C (KapRes),Nord,81,,,Nicht EE,,,
Thyrow C (SysRel),Nord,81,Gasturbinenkraftwerk,Erdgas,nicht EE,Brandenburg,"52°13'47.9""N 13°18'04.8""E",
Thyrow D (KapRes),Nord,81,,,Nicht EE,,,
Thyrow D (SysRel),Nord,81,Gasturbinenkraftwerk,Erdgas,nicht EE,Brandenburg,"52°13'47.9""N 13°18'04.8""E",
Thyrow E (KapRes),Nord,81,,,Nicht EE,,,
Thyrow E (SysRel),Nord,81,Gasturbinenkraftwerk,Erdgas,nicht EE,Brandenburg,"52°13'47.9""N 13°18'04.8""E",
UPM Schongau HKW3,Süd,,Heizkraftwerk (KWK),Erdgas,nicht EE,Bayern,"47°48'17.7""N 10°54'17.3""E",
VIANDEN_1,Süd,75,,Wasser,EE,,,
VOELKLINGEN_HKV,Süd,75,Kohlekraftwerke,Steinkohle,nicht EE,Saarland,"49°14'56.8""N 6°52'51.5""E",
VOELKLINGEN_MKV,Süd,75,,,Nicht EE,,,
Vorarlberger Ilwerke,Österreich,Österreich,Pumpspeicherkraftwerk,Wasser,EE,,,
Waldeck 1,Nord,73,,Wasser,EE,,,
Waldeck 5,Nord,73,Pumpspeicherkraftwerk,Wasser,EE,Hessen,"51°10'02.3""N 9°02'47.2""E",
Waldeck 6,Nord,73,,Wasser,EE,,,
WALSUM_10,Süd,,Steinkohlekraftwerk,Steinkohle,nicht EE,Nordrhein-Westfalen,"51° 31′ 43″ N, 6° 42′ 43″ O",
Weiher C,Süd,75,Kohlekraftwerk,Steinkohle,nicht EE,Saarland,"49°20'07.3""N 7°01'47.3""E",
WEISWEILER_F,Süd,74,,,Nicht EE,,,
WEISWEILER_F_110,Süd,74,Kohlekraftwerk ,Braunkohle,nicht EE,Nordrhein-Wetsfalen,"50°50'09.2""N 6°18'59.7""E",
WEISWEILER_G,Süd,74,Kohlekraftwerk ,Braunkohle,nicht EE,Nordrhein-Wetsfalen,"50°50'09.2""N 6°18'59.7""E",
WEISWEILER_H,Süd,74,Kohlekraftwerk ,Braunkohle,nicht EE,Nordrhein-Wetsfalen,"50°50'09.2""N 6°18'59.7""E",
WEISWEILER_VGTG3,Süd,74,,,Nicht EE,,,
WEISWEILERVGT_H3,Süd,74,,,Nicht EE,,,
Wilhelmshaven (ENGIE),Nord,22,Dampfkraftwerk,Steinkohle,nicht EE,Niedersachsen,"53° 34′ 29″ N, 8° 8′ 13″ O",
Wolfsburg Nord A,Nord,23,,,Nicht EE,,,
Wolfsburg West 2,Nord,23,,,Nicht EE,,,
WP Emsland,Nord,22,,Wind,EE,,,
WP Jardelund,Nord,21,,Wind,EE,,,
WP Wilstermarsch,Nord,21,,Wind,EE,,,
Würzburg GT 1,Süd,25,Heizkraftwerk (GuD),Erdgas,nicht EE,Bayern,"49°47'58.9""N 9°55'26.2""E",
Würzburg GT 2,Süd,25,,,Nicht EE,,,
Zolling 5,Süd,26,Steinkohlekraftwerk,Steinkohle,nicht EE,Bayern,"48° 27′ 18″ N, 11° 47′ 56″ O",
