Name,Nord-Süd,DE2 (BZR ID2),Dena Regionen,Kraftwerksart,Energieträger,EE/nicht EE,Bundesland,,Unerklärte Ziffer,DEHST-ID,DEHST-Nummer,VET 2022 (Block),VET 2022 (Plant)
50H PV Witznitz,Nord,,83,Freiflächen PV,Photovoltaik,EE,Sachsen,"51° 10′ 1,9″ N, 12° 28′ 44,8″ O",,,,,
AMP_WESTNETZ_NAHE_CR_WIND,Süd,,72,,Windenergie (Onshore-Anlage),EE,,,,1409,14310-0866,,357.317
AMP_WESTNETZ_NIKE_CR_WIND,Nord,,71,,Windenergie (Onshore-Anlage),EE,,,,215100,14310-1975,,452.557
SW München KW-Pool,Süd,Süd,26,Kraftwerksmix,,nicht EE,Bayern,?,,,,,
50H Berlin Reuter West,Nord,Nord,81,Heizkraftwerk,Steinkohle,nicht EE,Berlin,"52° 32′ 7″ N, 13° 14′ 34″ O",13599,1207,14310-0651,,663.669
50H Hamburg Tiefstack 2 HKW SK,Nord,Nord,82,Heizkraftwerk,Steinkohle,nicht EE,Hamburg,"53° 31′ 37″ N, 10° 3′ 49″ O",22113,4148,14310-1748,440.528,
50H Hamburg Wedel1,Nord,Nord,82,Heizkraftwerk,Steinkohle,nicht EE,Schleswig-Holstein,,22880,1207,14310-0651,,663.669
AMP_WESTNETZ_SAUERLAND_CR_WIND,Nord,,73,,Windenergie (Onshore-Anlage),EE,,,,1291,14310-0742,,1.382.813
BERGKAMEN_A,Süd,Süd,73,Heizkraftwerk,Steinkohle,nicht EE,NRW,"51° 38′ 13″ N, 7° 37′ 8″ O",,1212,14310-0656,,867
Bexbach A,Süd,Süd,75,Dampfkraftwerk,Steinkohle,nicht EE,Saarland,"49° 21′ 47″ N, 7° 14′ 16″ O",,1456,14310-0918,,15.312.823
Bremen 15,Nord,Nord,22,Kohlekraftwerk ,Steinkohle,Nicht EE,,,,210483,14310-1904,,277.144
Datteln_4,Süd,Süd,72,Kohlekraftwerk ,Steinkohle,nicht EE,Nordrhein-Westfalen,"51°37'57.0""N 7°20'27.0""E",,,,,
Farge,Nord,Nord,22,Kohlekraftwerk,Steinkohle,nicht EE,Bremen,"53° 12′ 8″ N, 8° 31′ 1″ O",,,,,
Frankfurt West 2,Süd,Süd,24,Heizkraftwerk,Steinkohle,nicht EE,Hessen,"50° 5′ 54″ N, 8° 39′ 12″ O",,,,,
Frankfurt West 3,Süd,Süd,24,Heizkraftwerk,Steinkohle,nicht EE,Hessen,"50° 5′ 54″ N, 8° 39′ 12″ O",,202777,14310-1839,,205.834
Grosskraftwerk Mannheim Block 6,Süd,Süd,75,Heizkraftwerk,Steinkohle,nicht EE,Baden-Württemberg,"49°26'39.4""N 8°30'11.4""E",,1888,14310-1410,,257.312
Grosskraftwerk Mannheim Block 6 7 und 8,Süd,Süd,75,Heizkraftwerk,Steinkohle,Nicht EE,Baden-Württemberg,"49°26'39.4""N 8°30'11.4""E",,1888,14310-1411,,257.312
Grosskraftwerk Mannheim Block 6 und 8,Süd,Süd,75,Heizkraftwerk,Steinkohle,nicht EE,Baden-Württemberg,"49°26'39.4""N 8°30'11.4""E",,1464,14310-0926,,144.413
Grosskraftwerk Mannheim Block 7,Süd,Süd,75,Heizkraftwerk,Steinkohle,nicht EE,Baden-Württemberg,"49°26'39.4""N 8°30'11.4""E",,,,,
Grosskraftwerk Mannheim Block 9,Süd,Süd,75,Heizkraftwerk,Steinkohle,Nicht EE,Baden-Württemberg,"49°26'39.4""N 8°30'11.4""E",,,,,
AMP_WESTNETZ_TRIER_CR_WIND,Nord,,75,,Windenergie (Onshore-Anlage),EE,,,,882,14310-0291,,18.623
OWP Nordergründe,Nord,,20,,Windenergie (Onshore-Anlage),EE,,,,,,,
Heizkraftwerk Altbach/Deizisau Block 2,Süd,Süd,75,Heizkraftwerk,Steinkohle,nicht EE,Baden-Württemberg,"48°43'07.9""N 9°22'33.5""E",,1095,14310-0531,,915.963
Heizkraftwerk Heilbronn Block 7,Süd,Süd,41,Heizkraftwerk,Steinkohle,Nicht EE,Baden-Württemberg,,,1095,14310-0532,,915.963
HERNE_4,Süd,Süd,72/73,Kohlekraftwerk,Steinkohle,nicht EE,Nordrhein-Westfalen,"51°33'04.8""N 7°11'08.0""E",,,14310-2025,,0
Heyden,Süd,,23,Kohlekraftwerk,Steinkohle,nicht EE,Nordrhein-Westfalen,"52°22'44.8""N 8°59'47.7""E",,,,,
OWP Riffgat,Nord,,20,,Windenergie (Onshore-Anlage),EE,,,,,,,
Mehrum,Nord,Nord,23,Dampfkraftwerk,Steinkohle,nicht EE,Niedersachsen,"52° 18′ 51″ N, 10° 5′ 29″ O",,,,,
Netzreservekraftwerk VOELKLINGEN_HKV,Süd,Süd,,Kohlekraftwerke,Steinkohle,nicht EE,Saarland,"49°14'56.8""N 6°52'51.5""E",,1382,14310-0837,,226.902
Netzreservekraftwerk VOELKLINGEN_MKV,Süd,Süd,,Kohlekraftwerke,Steinkohle,nicht EE,Saarland,"49°14'56.8""N 6°52'51.5""E",,1382,14310-0838,,226.902
Reservekraftwerk Altbach/Deizisau Block 1,Süd,Süd,,Heizkraftwerk (Fuel Switch),Steinkohle,nicht EE,Baden-Württemberg,"48°43'02.1""N 9°22'26.5""E",,1382,14310-0839,,226.902
Reservekraftwerk Heilbronn Block 5,Süd,Süd,,Heizkraftwerk,Steinkohle,nicht EE,Baden-Württemberg,"49°10'41.9""N 9°12'30.6""E",,1479,14310-0943,,1.369.575
Reservekraftwerk Heilbronn Block 6,Süd,Süd,,Heizkraftwerk,Steinkohle,nicht EE,Baden-Württemberg,"49°10'41.9""N 9°12'30.6""E",,1479,14310-0944,,1.369.575
Reservekraftwerk Walheim Block 1,Süd,Süd,,Heizkraftwerk,Steinkohle,nicht EE,Baden-Württemberg,"49°01'02.9""N 9°09'25.0""E",,,,,
Reservekraftwerk Walheim Block 2,Süd,Süd,,Heizkraftwerk,Steinkohle,nicht EE,Baden-Württemberg,"49°01'02.9""N 9°09'25.0""E",,,,,
ReserveKW Heyden,Süd,,,Kohlekraftwerk,Steinkohle,nicht EE,Nordrhein-Westfalen,"52°22'44.0""N 8°59'46.4""E",,,,,
ReserveKW Staudinger 5,Süd,Süd,,Kohlekraftwerk,Steinkohle,nicht EE,Hessen,"50°05'14.3""N 8°57'28.0""E",,741,14310-0131,,1.194.901
Rheinhafen-Dampfkraftwerk Karlsruhe Block 7,Süd,Süd,,Heizkraftwerk,Steinkohle,nicht EE,Baden-Württemberg,"49° 0′ 45″ N, 8° 18′ 10″ O",,747,14310-0141,,506.095
Rheinhafen-Dampfkraftwerk Karlsruhe Block 8,Süd,Süd,,Heizkraftwerk,Steinkohle,nicht EE,Baden-Württemberg,"49° 0′ 45″ N, 8° 18′ 10″ O",,202018,14310-1832,,6.233
WP Emsland,Nord,,22,,Windenergie (Onshore-Anlage),EE,,,,1746,14310-1293,,156.876
SCHOLVEN_B,Süd,Süd,,Kohlekraftwerk,Steinkohle,nicht EE,Nordrhein-Westfalen,"51°35'49.6""N 7°00'14.3""E",,,,,
Staudinger 5,Süd,Süd,,Dampfkraftwerk,Steinkohle,nicht EE,Hessen,"50° 5′ 17″ N, 8° 57′ 8″ O",,1665,14310-1180,,240.937
STUMMHAFEN_10,Süd,Süd,,Kohlekraftwerk,Steinkohle,nicht EE,Nordrhein-Westfalen,"51°36'49.9""N 7°27'59.8""E",,889,14310-0298,,584.481
VOELKLINGEN_HKV,Süd,Süd,75,Kohlekraftwerke,Steinkohle,nicht EE,Saarland,"49°14'56.8""N 6°52'51.5""E",,851,14310-0256,,445.877
WP Jardelund,Nord,,21,,Windenergie (Onshore-Anlage),EE,,,,1746,14310-1294,,156.876
WALSUM_10,Süd,Süd,,Steinkohlekraftwerk,Steinkohle,nicht EE,Nordrhein-Westfalen,"51° 31′ 43″ N, 6° 42′ 43″ O",,1606,14310-1094,,24.223.327
Weiher C,Süd,Süd,75,Steinkohlekraftwerk,Steinkohle,nicht EE,Saarland,"49°20'07.3""N 7°01'47.3""E",,1606,14310-1095,,24.223.327
Wilhelmshaven (ENGIE),Nord,Nord,22,Dampfkraftwerk,Steinkohle,nicht EE,Niedersachsen,"53° 34′ 29″ N, 8° 8′ 13″ O",,1606,14310-1096,,24.223.327
Wolfsburg Nord A,Nord,Nord,23,Heizkraftwerk,Steinkohle,Nicht EE,Niedersachsen,"52° 25′ 57″ N, 10° 47′ 15″ O",,1606,14310-1097,,24.223.327
Wolfsburg West 2,Nord,Nord,23,Heizkraftwerk (KWK),Steinkohle,Nicht EE,Niedersachsen,"52° 26′ 31″ N, 10° 45′ 50″ O",,1649,14310-1153,,16.995.539
Zolling 5,Süd,Süd,26,Steinkohlekraftwerk,Steinkohle,nicht EE,Bayern,"48° 27′ 18″ N, 11° 47′ 56″ O",,1649,14310-1154,,16.995.539
Burghausen,Süd,,26,Wasser,Wasserkraft (Laufwasser),EE,Bayern,,,1649,14310-1155,,16.995.539
Erzhausen 1,Süd,,24,Pumpspeicherkraftwerk,Pumpspeicher,EE,Niedersachsen,"51° 53′ 55″ N, 9° 55′ 30″ O",37548,1649,14310-1156,,16.995.539
Erzhausen 2,Süd,,24,Pumpspeicherkraftwerk,Pumpspeicher,EE,Niedersachsen,"51° 53′ 55″ N, 9° 55′ 30″ O",37548,1649,14310-1157,,16.995.539
Erzhausen 3,Süd,,24,Pumpspeicherkraftwerk,Pumpspeicher,EE,Niedersachsen,"51° 53′ 55″ N, 9° 55′ 30″ O",37548,1644,14310-1144,,114.807
Erzhausen 4,Süd,,24,Pumpspeicherkraftwerk,Pumpspeicher,EE,Niedersachsen,"51° 53′ 55″ N, 9° 55′ 30″ O",37548,1279,14310-0726,,1.059.082
WP Wilstermarsch,Nord,,21,,Windenergie (Onshore-Anlage),EE,,,,,,,
AMP_WESTNETZ_EMSLAND_CR_PHOTOVOLTAIK,Nord,,22,,Photovoltaik,EE,,,,,,,
Kühtai 1 (TIWAG),Österreich,,Österreich,Wasser,Wasserkraft (Laufwasser),EE,Österreich?,,,,,,
Kühtai 2 (Uniper),Österreich,,Österreich,Wasser,Wasserkraft (Laufwasser),EE,Österreich?,,,,,,
Leitzach 1 M11,Süd,,26,Pumpspeicherkraftwerke ,Pumpspeicher,EE,Bayern,"47°52'25.7""N 11°52'17.6""E",,,,,
Leitzach 2 M21,Süd,,26,Pumpspeicherkraftwerke ,Pumpspeicher,EE,Bayern,"47°52'25.7""N 11°52'17.6""E",,,,,
Leitzach 2 M22,Süd,,26,Pumpspeicherkraftwerke ,Pumpspeicher,EE,Bayern,"47°52'25.7""N 11°52'17.6""E",,,,,
AMP_WESTNETZ_NIKE_CR_PHOTOVOLTAIK,Nord,,71,,Photovoltaik,EE,,,,,,,
Pumpspeicherwerk Glems,Süd,,42,Pumpspeicherkraftwerk,Pumpspeicher,EE,Baden-Württemberg,"48°30'17.7""N 9°17'13.3""E",,4132,14310-1737,,220.633
Pumpspeicherwerk Säckingen RZ TNG,Süd,,42,Pumpspeicherkraftwerk,Pumpspeicher,EE,Baden-Württemberg,"47°33'55.0""N 7°57'11.4""E",,,,,
Pumpspeicherwerk Schluchseegruppe Häusern/Waldshut/Witznau RZ TNG,Süd,,42,Pumpspeicherkraftwerk,Pumpspeicher,EE,Baden-Württemberg,"47°45'18.2""N 8°11'14.6""E",,,,,
Goldisthal (Standort),Nord,,83,,Wasserkraft (Laufwasser),EE,,,,1279,14310-0727,,1.059.082
Reisach 1,Süd,,25,Pumpspeicherkraftwerk,Pumpspeicher,EE,Bayern,"49°31'47.4""N 12°17'07.8""E",,,,,
Reisach 2,Süd,,25,Pumpspeicherkraftwerk,Pumpspeicher,EE,Bayern,"49°31'47.4""N 12°17'07.8""E",,,,,
Reisach 3,Süd,,25,Pumpspeicherkraftwerk,Pumpspeicher,EE,Bayern,"49°31'47.4""N 12°17'07.8""E",,,,,
PSW Rönkhausen,Nord,,73,,Wasserkraft (Laufwasser),EE,,,,,,,
Pumpspeicherwerk Wehr RZ TNG,Süd,,42,,Pumpspeicher,EE,,,,,,,
ROENKHAUSEN_PSW1,Nord,,37,,Wasserkraft (Laufwasser),EE,,,,,,,
ROENKHAUSEN_PSW2,Nord,,37,,Wasserkraft (Laufwasser),EE,,,,,,,
Silz 1 (TIWAG),Süd,,75,,Wasserkraft (Laufwasser),EE,,,,1450,14310-0912,,1.536.543
Silz 1 (Uniper),Süd,,75,,Wasserkraft (Laufwasser),EE,,,,1452,14310-0914,,1.914.021
Silz 2 (TIWAG),Süd,,75,,Wasserkraft (Laufwasser),EE,,,,1452,14310-0915,,1.914.021
Vorarlberger Ilwerke,Österreich,,Österreich,Pumpspeicherkraftwerk,Pumpspeicher,EE,,,,1455,14310-0917,,94.149
Tanzmühle,Süd,,25,,Wasserkraft (Laufwasser),EE,,,,1455,14310-0917,,94.149
Waldeck 5,Nord,,73,Pumpspeicherkraftwerk,Pumpspeicher,EE,Hessen,"51°10'02.3""N 9°02'47.2""E",,1464,14310-0926,,144.413
VIANDEN_1,Süd,,75,,Wasserkraft (Laufwasser),EE,,,,1455,14310-0917,,94.149
50H UW Putlitz,Nord,,81,Umspannwerk,,EE,Brandenburg,"53° 15' 3"" N, 12° 5' 16"" O",16949,1291,14310-0742,,1.382.813
Waldeck 1,Nord,,73,,Wasserkraft (Laufwasser),EE,,,,1457,14310-0918,,4.764.061
Waldeck 6,Nord,,73,,Wasserkraft (Laufwasser),EE,,,,1464,14310-0927,,144.413
50H_AVA_CR_FOE,Nord,,81,,,EE,,,,1447,14310-0907,,42.018
50H_AVA_CR_STW,Nord,,81,,,EE,,,,1447,14310-0907,,42.018
50H_AVA_CR_WOL,Nord,,81,,,EE,,,,1207,14310-0651,,663.669
50H_EDIS_CR_ATS,Nord,,81,,,EE,,,,1876,14310-1392,,2.094.305
50H_EDIS_CR_BW,Nord,,81,,,EE,,,,1876,14310-1392,,2.094.305
50H_EDIS_CR_EH,Nord,,84,,,EE,,,,1457,14310-0918,,4.764.061
50H_EDIS_CR_GUE_Nord,Nord,,81,,,EE,,,,1457,14310-0919,,4.764.061
50H_EDIS_CR_GUE_Sued,Nord,,81,,,EE,,,,,,,
50H_EDIS_CR_LHG,Nord,,81,,,EE,,,,,,,
50H_EDIS_CR_NHG_Nord,Nord,,81,,,EE,,,,,,,
50H_EDIS_CR_PAS,Nord,,81,,,EE,,,,,,,
50H_EDIS_CR_PE,Nord,,81,,,EE,,,,1376,14310-0831,,4.387.507
50H_EDIS_CR_PZS,Nord,,81,,,EE,,,,1205,14310-0649,,3.114.331
50H_EDIS_CR_SOW_Nord,Nord,,84,,,EE,,,,1459,14310-0921,,9.570.636
50H_EDIS_CR_SOW_Sued,Nord,,84,,,EE,,,,,,,
50H_EDIS_CR_WU,Nord,,81,,,EE,,,,,,,
50H_MNS_CR_ADB,Nord,,81,,,EE,,,,,,,
50H_MNS_CR_FRN,Nord,,81,,,EE,,,,,,,
50H_MNS_CR_GRS,Nord,,84,,,EE,,,,,,,
50H_MNS_CR_HER,Nord,,84,,,EE,,,,,,,
50H_MNS_CR_JEN,Nord,,84,,,EE,,,,,,,
50H_MNS_CR_JSN,Nord,,84,,,EE,,,,,,,
50H_MNS_CR_KLM,Nord,,81,,,EE,,,,,,,
50H_MNS_CR_LAU_Nord,Nord,,84,,,EE,,,,,,,
50H_MNS_CR_LAU_Sued,Nord,,84,,,EE,,,,,,,
50H_MNS_CR_MA_Nord,Nord,,84,,,EE,,,,,,,
50H_MNS_CR_MA_Sued,Nord,,84,,,EE,,,,,,,
50H_MNS_CR_PRL,Nord,,84,,,EE,,,,,,,
50H_MNS_CR_PRL_TU,Nord,,84,,,EE,,,,,,,
50H_MNS_CR_PUL,Nord,,81,,,EE,,,,,,,
50H_MNS_CR_RAG,Nord,,81,,,EE,,,,,,,
50H_MNS_CR_ROE,Nord,,81,,,EE,,,,,,,
50H_MNS_CR_STR,Nord,,81,,,EE,,,,,,,
50H_MNS_CR_ZW,Nord,,81,,,EE,,,,,,,
50H_TEN_CR_M1_EI,Nord,,83,,,EE,,,,,,,
50H_TEN_CR_M2_VIB,Nord,,83,,,EE,,,,,,,
50H_TEN_CR_S1_ATF,Nord,,83,,,EE,,,,,,,
50H_TEN_CR_S2_WD,Nord,,83,,,EE,,,,,,,
50H_WEMA_CR_GOE,Nord,,81,,,EE,,,,1876,14310-1392,,2.094.305
50H_WEMA_CR_GUE,Nord,,81,,,EE,,,,,,,
50H_WEMA_CR_PE,Nord,,81,,,EE,,,,,,,
50H_WEMA_CR_PMS,Nord,,81,,,EE,,,,1320,14310-0772,,318.601
50H_WEMA_CR_WE,Nord,,81,,,EE,,,,,,,
AMP_WESTNETZ_EMSLAND_CR_SONSTIGE_EE,Nord,,22,,,EE,,,,1231,14310-0675,,782
AMP_WESTNETZ_MUENSTERLAND_TEL,Nord,,71,,,EE,,,,1231,14310-0676,,782
AMP_WESTNETZ_NIKE_CR_SONSTIGE_EE,Nord,,71,,,EE,,,,1231,14310-0677,,782
AMP_WESTNETZ_SAUERLAND_TEL,Nord,,73,,,EE,,,,1231,14310-0678,,782
AVA Cluster Dollern,Nord,,22,,,EE,,,,1231,14310-0679,,782
AVA Cluster Elsen,Nord,,73,,,EE,,,,1231,14310-0680,,782
AVA Cluster Lehrte,Nord,,23,,,EE,,,,1231,14310-0681,,782
AVA Cluster Lüneburg T412,Nord,,23,,,EE,,,,1231,14310-0682,,782
AVA Cluster Lüneburg T413,Nord,,23,,,EE,,,,1231,14310-0683,,782
AVA Cluster Ohlensehlen,Nord,,22,,,EE,,,,1231,14310-0684,,782
AVA Cluster Sottrum T411 T413,Nord,,22,,,EE,,,,1665,14310-1180,,240.937
AVA Cluster Wechold,Nord,,23,,,EE,,,,,,,
SHN Cluster Audorf Süd,Nord,,21,,,EE,,,,,,,
SHN Cluster Brunsbüttel,Nord,,21,,,EE,,,,,,,
SHN Cluster Hamburg Nord,Nord,,21,,,EE,,,,,,,
SHN Cluster Handewitt T411,Nord,,21,,,EE,,,,851,,,
SHN Cluster Handewitt T411 T413,Nord,,21,,,EE,,,,1317,14310-0769,,2.775.858
SHN Cluster Handewitt T412 T413,Nord,,21,,,EE,,,,845,14310-0249,329.586,
SHN Cluster Handewitt T414 T415,Nord,,21,,,EE,,,,1607,14310-1094,,14.926.309
SHN Cluster Heide West T411 T412,Nord,,21,,,EE,,,,1607,14310-1095,,14.926.309
SHN Cluster Heide West T413,Nord,,21,,,EE,,,,1607,14310-1096,,14.926.309
SHN Cluster Husum Nord,Nord,,21,,,EE,,,,1607,14310-1097,,14.926.309
SHN Cluster Itzehoe West,Nord,,21,,,EE,,,,1607,14310-1098,,14.926.309
SHN Cluster Jardelund,Nord,,21,,,EE,,,,1607,14310-1099,,14.926.309
SHN Cluster Kiel Süd,Nord,,21,,,EE,,,,,,,
SHN Cluster Klixbüll,Nord,,21,,,EE,,,,1527,14310-1002,,550.689
SHN Cluster Krümmel,Nord,,21,,,EE,,,,1515,14310-0989,,1.310.553
SHN Cluster Kummerfeld,Nord,,21,,,EE,,,,,,,
SHN Cluster Lübeck,Nord,,21,,,EE,,,,,,,
SHN Cluster Schuby West,Nord,,21,,,EE,,,,,,,
SHN Cluster Süderdonn T411,Nord,,21,,,EE,,,,769,14310-0163,,148.383
SHN Cluster Süderdonn T412 T413,Nord,,21,,,EE,,,,769,14310-0164,,148.383
SHN Cluster Wilster West,Nord,,21,,,EE,,,,963,14310-0383,1.411.172,
