Name,Nord-Süd,DE2 (BZR ID2),Dena Regionen,Kraftwerksart,Energieträger,EE/nicht EE,Bundesland,spez. Standort,Unerklärte Ziffer,DEHST-ID,DEHST-Nummer,VET 2022 (Block),VET 2022 (Plant)
Robert Frank 4 GT (KapRes),Nord,Nord,,GuD Kraftwerk,Erdgas,nicht EE,Niedersachsen,"52°32'46.8""N 9°06'59.0""E",,,,,
ROENKHAUSEN_PSW1,Nord,,37,,Wasser,EE,,,,,,,
ROENKHAUSEN_PSW2,Nord,,37,,Wasser,EE,,,,,,,
Rostock Kohlekraftwerk,Nord,Nord,81,,,Nicht EE,,,,,,,
Schkopau,Nord,Nord,,Dampfkraftwerk,Braunkohle,nicht EE,Sachsen-Anhalt,"51° 24′ 4″ N, 11° 57′ 3″ O",,1376,14310-0831,,4.387.507
SCHOLVEN_B,Süd,Süd,,Kohlekraftwerk,Steinkohle,nicht EE,Nordrhein-Westfalen,"51°35'49.6""N 7°00'14.3""E",,1205,14310-0649,,3.114.331
Schwarze Pumpe (Standort),Nord,Nord,,Kohlekraftwerk,Braunkohle,nicht EE,Brandenburg,"51°32'03.0""N 14°21'01.7""E",,1459,14310-0921,,9.570.636
SHN Cluster Audorf Süd,Nord,,21,,,EE,,,,,,,
SHN Cluster Brunsbüttel,Nord,,21,,,EE,,,,,,,
SHN Cluster Hamburg Nord,Nord,,21,,,EE,,,,,,,
SHN Cluster Handewitt T411,Nord,,21,,,EE,,,,,,,
SHN Cluster Handewitt T411 T413,Nord,,21,,,EE,,,,,,,
SHN Cluster Handewitt T412 T413,Nord,,21,,,EE,,,,,,,
SHN Cluster Handewitt T414 T415,Nord,,21,,,EE,,,,,,,
SHN Cluster Heide West T411 T412,Nord,,21,,,EE,,,,,,,
SHN Cluster Heide West T413,Nord,,21,,,EE,,,,,,,
SHN Cluster Husum Nord,Nord,,21,,,EE,,,,,,,
SHN Cluster Itzehoe West,Nord,,21,,,EE,,,,,,,
SHN Cluster Jardelund,Nord,,21,,,EE,,,,,,,
SHN Cluster Kiel Süd,Nord,,21,,,EE,,,,,,,
SHN Cluster Klixbüll,Nord,,21,,,EE,,,,,,,
SHN Cluster Krümmel,Nord,,21,,,EE,,,,,,,
SHN Cluster Kummerfeld,Nord,,21,,,EE,,,,,,,
SHN Cluster Lübeck,Nord,,21,,,EE,,,,,,,
SHN Cluster Schuby West,Nord,,21,,,EE,,,,,,,
SHN Cluster Süderdonn T411,Nord,,21,,,EE,,,,,,,
SHN Cluster Süderdonn T412 T413,Nord,,21,,,EE,,,,,,,
SHN Cluster Wilster West,Nord,,21,,,EE,,,,,,,
Silz 1 (TIWAG),Süd,,75,,Wasser,EE,,,,,,,
Silz 1 (Uniper),Süd,,75,,Wasser,EE,,,,,,,
Silz 2 (TIWAG),Süd,,75,,Wasser,EE,,,,,,,
Staudinger 5,Süd,Süd,,Dampfkraftwerk,Steinkohle & 3 % Klärschlamm,nicht EE,Hessen,"50° 5′ 17″ N, 8° 57′ 8″ O",,1876,14310-1392,,2.094.305
STUMMHAFEN_10,Süd,Süd,,Kohlekraftwerk,Steinkohle,nicht EE,Nordrhein-Westfalen,"51°36'49.9""N 7°27'59.8""E",,,,,
SW München KW-Pool,Süd,Süd,26,Kraftwerksmix,,nicht EE,Bayern,?,,,,,
SWDU_HKW_3B,Süd,Süd,,Heizkraftwerk (GuD),Erdgas,nicht EE,Nordrhein-Westfalen,"51°23'31.0""N 6°44'49.9""E",,1320,14310-0772,,318.601
Tanzmühle,Süd,,25,,Wasser,EE,,,,,,,
Thyrow A (KapRes),Nord,Nord,81,,,Nicht EE,,,,1231,14310-0675,,782
Thyrow A (SysRel),Nord,Nord,81,Gasturbinenkraftwerk,Erdgas,nicht EE,Brandenburg,"52°13'47.9""N 13°18'04.8""E",,1231,14310-0676,,782
Thyrow B (KapRes),Nord,Nord,81,,,Nicht EE,,,,1231,14310-0677,,782
Thyrow B (SysRel),Nord,Nord,81,Gasturbinenkraftwerk,Erdgas,nicht EE,Brandenburg,"52°13'47.9""N 13°18'04.8""E",,1231,14310-0678,,782
Thyrow C (KapRes),Nord,Nord,81,,,Nicht EE,,,,1231,14310-0679,,782
Thyrow C (SysRel),Nord,Nord,81,Gasturbinenkraftwerk,Erdgas,nicht EE,Brandenburg,"52°13'47.9""N 13°18'04.8""E",,1231,14310-0680,,782
Thyrow D (KapRes),Nord,Nord,81,,,Nicht EE,,,,1231,14310-0681,,782
Thyrow D (SysRel),Nord,Nord,81,Gasturbinenkraftwerk,Erdgas,nicht EE,Brandenburg,"52°13'47.9""N 13°18'04.8""E",,1231,14310-0682,,782
Thyrow E (KapRes),Nord,Nord,81,,,Nicht EE,,,,1231,14310-0683,,782
Thyrow E (SysRel),Nord,Nord,81,Gasturbinenkraftwerk,Erdgas,nicht EE,Brandenburg,"52°13'47.9""N 13°18'04.8""E",,1231,14310-0684,,782
UPM Schongau HKW3,Süd,Süd,,Heizkraftwerk (KWK),Erdgas,nicht EE,Bayern,"47°48'17.7""N 10°54'17.3""E",,1665,14310-1180,,240.937
VIANDEN_1,Süd,,75,,Wasser,EE,,,,,,,
VOELKLINGEN_HKV,Süd,Süd,75,Kohlekraftwerke,Steinkohle,nicht EE,Saarland,"49°14'56.8""N 6°52'51.5""E",,889,14310-0298,584.481,
VOELKLINGEN_MKV,Süd,Süd,75,,,Nicht EE,Saarland,"49°14'56.8""N 6°52'51.5""E",,851,14310-0256,445.877,
Vorarlberger Ilwerke,Österreich,,Österreich,Pumpspeicherkraftwerk,Wasser,EE,,,,,,,
Waldeck 1,Nord,,73,,Wasser,EE,,,,,,,
Waldeck 5,Nord,,73,Pumpspeicherkraftwerk,Wasser,EE,Hessen,"51°10'02.3""N 9°02'47.2""E",,,,,
Waldeck 6,Nord,,73,,Wasser,EE,,,,851,,,
WALSUM_10,Süd,Süd,,Steinkohlekraftwerk,Steinkohle,nicht EE,Nordrhein-Westfalen,"51° 31′ 43″ N, 6° 42′ 43″ O",,1317,14310-0769,,2.775.858
Weiher C,Süd,Süd,75,Steinkohlekraftwerk,Steinkohle,nicht EE,Saarland,"49°20'07.3""N 7°01'47.3""E",,845,14310-0249,329.586,
WEISWEILER_F,Süd,Süd,74,,,Nicht EE,,,,1607,14310-1094,,14.926.309
WEISWEILER_F_110,Süd,Süd,74,Kohlekraftwerk ,Braunkohle,nicht EE,Nordrhein-Wetsfalen,"50°50'09.2""N 6°18'59.7""E",,1607,14310-1095,,14.926.309
WEISWEILER_G,Süd,Süd,74,Kohlekraftwerk ,Braunkohle,nicht EE,Nordrhein-Wetsfalen,"50°50'09.2""N 6°18'59.7""E",,1607,14310-1096,,14.926.309
WEISWEILER_H,Süd,Süd,74,Kohlekraftwerk ,Braunkohle,nicht EE,Nordrhein-Wetsfalen,"50°50'09.2""N 6°18'59.7""E",,1607,14310-1097,,14.926.309
WEISWEILER_VGTG3,Süd,Süd,74,,,Nicht EE,,,,1607,14310-1098,,14.926.309
WEISWEILERVGT_H3,Süd,Süd,74,,,Nicht EE,,,,1607,14310-1099,,14.926.309
Wilhelmshaven (ENGIE),Nord,Nord,22,Dampfkraftwerk,Steinkohle,nicht EE,Niedersachsen,"53° 34′ 29″ N, 8° 8′ 13″ O",,,,,
Wolfsburg Nord A,Nord,Nord,23,Heizkraftwerk,Steinkohle,Nicht EE,Niedersachsen,"52° 25′ 57″ N, 10° 47′ 15″ O",,1527,14310-1002,,550.689
Wolfsburg West 2,Nord,Nord,23,Heizkraftwerk (KWK),Steinkohle,Nicht EE,Niedersachsen,"52° 26′ 31″ N, 10° 45′ 50″ O",,1515,14310-0989,,1.310.553
WP Emsland,Nord,,22,,Wind,EE,,,,,,,
WP Jardelund,Nord,,21,,Wind,EE,,,,,,,
WP Wilstermarsch,Nord,,21,,Wind,EE,,,,,,,
Würzburg GT 1,Süd,Süd,25,Heizkraftwerk (GuD),Erdgas,nicht EE,Bayern,"49°47'58.9""N 9°55'26.2""E",,769,14310-0163,,148.383
Würzburg GT 2,Süd,Süd,25,Heizkraftwerk (GuD),Erdgas,Nicht EE,Bayern,,,769,14310-0164,,148.383
Zolling 5,Süd,Süd,26,Steinkohlekraftwerk,Steinkohle,nicht EE,Bayern,"48° 27′ 18″ N, 11° 47′ 56″ O",,963,14310-0383,1.411.172,
